X,Y,tyyp_t,korgus
591499.090000004,6490580.82,Sidemast,"85"
613188.109999999,6489724.65,Korsten,"17"
601036.920000002,6498694.7,Sidemast,"80"
613246.876999997,6490015.035,Korsten,"27"
616078.170000002,6496983.536,Korsten,"29"
590678.185000002,6503815.165,Sidemast,"80"
597758.079999998,6501035.79,Torn,"19"
600523.18,6500285.22,Korsten,"29"
609588.340000004,6501664.36,Korsten,"36"
613931.439999998,6503869.99,Korsten,"19"
614119.560999997,6504506.621,Korsten,"18"
614608.020000003,6503418.8,Korsten,"22"
614027.399999999,6503474.87,Korsten,"30"
614165.200000003,6503479.65,Korsten,"22"
614809.5,6502510.2,Korsten,"15"
613807.240000002,6504414.03,Korsten,"26"
614850.509999998,6501712.3,Sidemast,"100"
550487.82,6569535.269,Sidemast,"60"
614357.990000002,6504295.09,Torn,"16"
614840.901000001,6502850.408,Torn,"23"
615639.32,6504216.52,Korsten,"26"
615087.409999996,6504156.28,Korsten,"26"
615167.18,6503308.33,Korsten,"30"
615101.130000003,6502992.3,Korsten,"20"
615132.450000003,6502236.03,Sidemast,"102"
612787.420000002,6508754.08,Korsten,"30"
610269.270000003,6509453.85,Korsten,"28"
605345.736000001,6562919.232,Valgusmast,"25"
682555.644000001,6542141.483,Torn,"9"
690208.756999999,6544993.334,Torn,"29"
591266.25,6440715.18,Sidemast,"77"
696763.288999997,6546145.729,Torn,"23"
697748.949000001,6546538.146,Sidemast,"80"
697296.880000003,6546257.75,Korsten,"16"
540473.223999999,6591300.389,Valgusmast,"29"
689869.799999997,6555145.353,Sidemast,"80"
661889.770999998,6564300.117,Sidemast,"70"
662512.762999997,6564324.144,Sidemast,"100"
663140.307999998,6563440.158,Torn,"17"
702494.659000002,6566989.29,Sidemast,"80"
701858.083999999,6567879.457,Torn,"24"
700735.18,6569508.97,Torn,"19"
701827.719999999,6567670.142,Torn,"22"
601136.460000001,6617659.25,Torn,"27"
701936.162,6567687.199,Torn,"20"
702107.560000002,6567467.545,Torn,"21"
702106.333999999,6567314.726,Torn,"24"
701882.733999997,6567670.77,Torn,"26"
629040.960000001,6541000.95,Korsten,"58"
629624.469999999,6540483.77,Korsten,"28"
628904.399999999,6541013.53,Sidemast,"54"
630448.560000002,6542665.94,Torn,"18"
630647.917999998,6542202.489,Korsten,"30"
637134.670000002,6548298.48,Torn,"20"
637239.340000004,6547632.11,Korsten,"25"
619757.659999996,6559269.61,Korsten,"29"
616502.171999998,6557204.383,Korsten,"23"
628124.560000002,6554936.12,Korsten,"43"
609619.873999998,6456201.42,Korsten,"25"
596513.435999997,6606667.372,Korsten,"30"
597425.659999996,6606094.44,Korsten,"20"
597375.215000004,6606446.423,Korsten,"27"
616642.285999998,6538226.897,Korsten,"24"
598032.384000003,6606564.615,Sidemast,"80"
597442.129000001,6605448.807,Torn,"27"
