"date","city","name","offer","price"
"2017-12-08","Tallinn","Grenka Kohvik","Varenikud kartuli ja seentega",5.6
"2018-03-08","Tallinn","Kohvik Coriander","Massaman karri kanaga, jasmiiniriis",5.5
"2018-03-13","Tallinn","Uulits","Kerge kanawrap feta-juustu-peedikreemiga",5.5
"2018-06-26","Tallinn","Söökla","Seafilee juustukoorikus",4.9
"2018-05-31","Tartu","Da Vinci pasta & pizza","Caesari salat kanafileega",4.9
"2018-07-17","Tartu","YliCool","Mahlane burger rebitud lihaga, sibulamoos, külmkaste ja friikad",5.5
"2018-08-06","Tartu","Newton Kohvik","Lõhepasta",3.5
"2018-04-26","Tallinn","TTÜ IT maja Daily","Küpsetatud kana gyros",4.2
"2017-11-28","Tartu","Kotka Kelder","Supi-desserdibuffet",3.8
"2018-06-05","Tallinn","Viktoria Restoran","Tomatipüreesupp (L) (G)",1.9
"2018-02-07","Tartu","Red Chilli","Küüslaugukastmes kanaliha**",3.7
"2017-11-15","Tallinn","Kristiine Bistroo","Seljanka",2.2
"2018-01-08","Tartu","Vapiano","Pasta - Pomodore emozzarella / Crema di pollo / Bolognese",4.9
"2017-11-10","Tallinn","HIIU Lounge","Komplekt (supp+praad+jook)",7
"2018-03-15","Tartu","Entri","Kana-köögiviljasupp",2
"2018-04-10","Tartu","Cafe Shogun","Oa supp",1.7
"2018-02-05","Tartu","Kohtu Kohvik","Hakklihakaste",2
"2018-03-21","Tallinn","Magdaleena Cafe","Kalkuni guljašš",4.5
"2017-11-14","Tartu","Entri","Pasta Bolognese",3.2
"2018-08-09","Tallinn","Krua","Krõbedaks praetud kalafilee Tai chillikastmes",5
"2018-07-13","Tallinn","Kärbes Kitchen&Bar","Grillitud kalkunifilee, ürdiriis, mangokaste ja marineeritud peet",4.5
"2018-07-10","Tallinn","Rävala Daily","Värskekapsa borš sealihaga",2.2
"2018-06-29","Tallinn","Järve Amps","Üleküpsetatud seakarbonaad peekoni ja cheddar juustuga",4.2
"2018-05-07","Tallinn","Al Mare Kohvik & Bistroo (Teaduspargi)","Taimetoit:Köögivilja-seesamikotlet",4.5
"2017-11-16","Tallinn","Reval Café Rävala","Juustutäidisega kana-peekonirull köögiviljavoki, majoneesi-tšillikasme ja värske salatiga",4.5
"2017-10-26","Tallinn","Mint Leaf","Darka Daal *taimetoit* (riis + vürtsikad paneeritud juurviljad + värske salat + naan leib)",6.5
"2018-07-09","Tallinn","Al Mare Grill","Grillitud naturaalne kanafilee kooreses šampinjoni kastmes",5.8
"2018-05-22","Tartu","Cafe Briis","Komplekt ( supp + praad)",3.7
"2018-01-03","Tallinn","Tammsaare Ärikeskuse Daily","Mehhiko veiselihapada",3.8
