TOT_P_2018,TOT_P_2006,GRD_ID,TOT_P_2011
2,0,CRS3035RES1000mN3948000E5300000,0
35,26,CRS3035RES1000mN3948000E5301000,23
48,28,CRS3035RES1000mN3948000E5302000,49
1,0,CRS3035RES1000mN3948000E5303000,0
12,20,CRS3035RES1000mN3948000E5304000,17
11,9,CRS3035RES1000mN3948000E5305000,5
0,0,CRS3035RES1000mN3948000E5306000,0
3,5,CRS3035RES1000mN3948000E5307000,2
0,3,CRS3035RES1000mN3948000E5308000,0
3,1,CRS3035RES1000mN3948000E5309000,0
3,5,CRS3035RES1000mN3948000E5310000,5
4,6,CRS3035RES1000mN3948000E5311000,5
7,9,CRS3035RES1000mN3948000E5312000,8
5,16,CRS3035RES1000mN3948000E5313000,9
3,2,CRS3035RES1000mN3948000E5314000,0
3,4,CRS3035RES1000mN3948000E5315000,3
0,0,CRS3035RES1000mN3948000E5316000,0
0,0,CRS3035RES1000mN3949000E5032000,0
0,0,CRS3035RES1000mN3949000E5035000,0
4,0,CRS3035RES1000mN3949000E5036000,0
2,0,CRS3035RES1000mN3949000E5037000,0
2,0,CRS3035RES1000mN3949000E5038000,0
5,1,CRS3035RES1000mN3949000E5039000,2
2,0,CRS3035RES1000mN3949000E5040000,0
114,127,CRS3035RES1000mN3949000E5167000,113
14,25,CRS3035RES1000mN3949000E5168000,26
8,8,CRS3035RES1000mN3949000E5169000,11
13,4,CRS3035RES1000mN3949000E5170000,5
2,0,CRS3035RES1000mN3949000E5171000,5
2,0,CRS3035RES1000mN3949000E5172000,0
0,0,CRS3035RES1000mN3949000E5280000,0
1,0,CRS3035RES1000mN3949000E5281000,0
2,1,CRS3035RES1000mN3949000E5282000,0
1,0,CRS3035RES1000mN3949000E5283000,0
0,3,CRS3035RES1000mN3949000E5284000,3
14,8,CRS3035RES1000mN3949000E5285000,11
21,33,CRS3035RES1000mN3949000E5286000,20
14,10,CRS3035RES1000mN3949000E5287000,9
5,2,CRS3035RES1000mN3949000E5288000,3
1,0,CRS3035RES1000mN3949000E5289000,0
0,0,CRS3035RES1000mN3949000E5290000,0
1,0,CRS3035RES1000mN3949000E5291000,0
4,2,CRS3035RES1000mN3949000E5292000,6
3,0,CRS3035RES1000mN3949000E5293000,0
0,0,CRS3035RES1000mN3949000E5294000,0
0,0,CRS3035RES1000mN3949000E5295000,0
1,0,CRS3035RES1000mN3949000E5296000,0
1,0,CRS3035RES1000mN3949000E5297000,0
1,0,CRS3035RES1000mN3949000E5298000,0
4,0,CRS3035RES1000mN3949000E5299000,0
3,11,CRS3035RES1000mN3949000E5300000,4
5,0,CRS3035RES1000mN3949000E5301000,0
4,19,CRS3035RES1000mN3949000E5302000,12
13,11,CRS3035RES1000mN3949000E5303000,7
137,192,CRS3035RES1000mN3949000E5304000,190
53,12,CRS3035RES1000mN3949000E5305000,11
3,12,CRS3035RES1000mN3949000E5306000,4
1,0,CRS3035RES1000mN3949000E5307000,0
1,0,CRS3035RES1000mN3949000E5308000,0
2,0,CRS3035RES1000mN3949000E5309000,0
5,4,CRS3035RES1000mN3949000E5310000,1
6,18,CRS3035RES1000mN3949000E5311000,15
3,1,CRS3035RES1000mN3949000E5312000,1
2,3,CRS3035RES1000mN3949000E5313000,2
7,6,CRS3035RES1000mN3949000E5314000,8
5,5,CRS3035RES1000mN3949000E5315000,5
2,1,CRS3035RES1000mN3949000E5316000,0
0,0,CRS3035RES1000mN3949000E5317000,0
3,0,CRS3035RES1000mN3949000E5318000,0
0,0,CRS3035RES1000mN3949000E5348000,0
0,8,CRS3035RES1000mN3949000E5349000,0
0,0,CRS3035RES1000mN3949000E5350000,0
0,0,CRS3035RES1000mN3950000E5036000,0
0,0,CRS3035RES1000mN3950000E5037000,0
0,0,CRS3035RES1000mN3950000E5038000,0
3,14,CRS3035RES1000mN3950000E5039000,16
2,0,CRS3035RES1000mN3950000E5040000,0
3,7,CRS3035RES1000mN3950000E5167000,13
11,15,CRS3035RES1000mN3950000E5168000,11
3,5,CRS3035RES1000mN3950000E5169000,4
5,5,CRS3035RES1000mN3950000E5170000,2
3,0,CRS3035RES1000mN3950000E5171000,0
0,0,CRS3035RES1000mN3950000E5172000,0
0,0,CRS3035RES1000mN3950000E5173000,0
4,0,CRS3035RES1000mN3950000E5279000,5
2,0,CRS3035RES1000mN3950000E5280000,0
3,1,CRS3035RES1000mN3950000E5281000,0
1,0,CRS3035RES1000mN3950000E5282000,0
3,0,CRS3035RES1000mN3950000E5283000,0
8,6,CRS3035RES1000mN3950000E5284000,0
4,2,CRS3035RES1000mN3950000E5285000,1
3,2,CRS3035RES1000mN3950000E5286000,0
0,0,CRS3035RES1000mN3950000E5287000,0
0,0,CRS3035RES1000mN3950000E5288000,0
0,0,CRS3035RES1000mN3950000E5289000,0
0,0,CRS3035RES1000mN3950000E5290000,0
