"x","y","arv06","arv11","arv18"
5335000,3955000,0,0,0
5336000,3955000,0,0,4
5337000,3955000,8,5,2
5338000,3955000,4,1,4
5339000,3955000,0,0,1
5340000,3955000,14,9,10
5341000,3955000,5,2,5
5342000,3955000,0,1,3
5343000,3955000,1,0,2
5344000,3955000,0,0,0
5345000,3955000,4,2,3
5346000,3955000,10,7,3
5347000,3955000,0,1,1
5030000,3956000,0,0,0
5031000,3956000,0,0,0
5032000,3956000,0,0,0
5033000,3956000,0,0,3
5034000,3956000,0,0,6
5035000,3956000,0,0,3
5036000,3956000,0,0,1
5037000,3956000,3,3,2
5038000,3956000,1,0,1
5039000,3956000,23,46,10
5051000,3956000,0,0,0
5052000,3956000,0,0,0
5053000,3956000,0,0,0
5054000,3956000,0,0,0
