"x","y","maakond","registreeriti","loomad"
651905,6410969,"võru maakond","2004","veis"
647419,6440939,"valga maakond","2004","munakana"
648924,6401687,"võru maakond","2004","veis"
649575,6403763,"võru maakond","2004","veis"
673067,6405080,"võru maakond","2004","veis"
671701,6429086,"põlva maakond","2004","munakana"
640268,6385717,"valga maakond","2004","hobune"
639418,6386458,"valga maakond","2004","veis"
640090,6421420,"valga maakond","2004","munakana"
636640,6423430,"valga maakond","2004","munakana"
622952,6419571,"valga maakond","2004","munakana;siga;veis"
712217,6428647,"võru maakond","2004","veis"
688184,6404181,"võru maakond","2004","lammas"
628348,6421750,"valga maakond","2004","kits;munakana"
638533,6386039,"valga maakond","2004","munakana;veis"
673087,6419338,"võru maakond","2004","hani;munakana"
658364,6414878,"võru maakond","2004","faasan;hani;munakana;paabulind;part;tuvi"
656744,6389025,"võru maakond","2004","lammas;munakana"
645417,6410609,"võru maakond","2004","mesilane"
700981,6397634,"võru maakond","2004","munakana"
708068,6411300,"võru maakond","2004","mesilane"
676792,6420932,"võru maakond","2004","mesilane"
701294,6418314,"võru maakond","2004","lammas"
686252,6393392,"võru maakond","2004","lammas;munakana"
688970,6412038,"võru maakond","2004","veis"
639133,6399417,"valga maakond","2004","munakana"
631546,6437515,"valga maakond","2004","mesilane;veis"
632464,6412211,"valga maakond","2004","broiler;kalkun;lammas;munakana"
688441,6402828,"võru maakond","2004","munakana;veis"
675411,6403134,"võru maakond","2004","kits"
703019,6407007,"võru maakond","2004","mesilane;munakana"
681428,6409067,"võru maakond","2004","veis"
662789,6386972,"võru maakond","2004","veis"
657797,6417010,"võru maakond","2004","munakana;part"
683772,6391605,"võru maakond","2004","mesilane"
683732,6391623,"võru maakond","2004","munakana"
690076,6419702,"võru maakond","2004","veis"
659184,6383390,"võru maakond","2004","munakana"
674716,6419269,"võru maakond","2004","siga"
675734,6418389,"võru maakond","2004","siga"
675017,6419278,"võru maakond","2004","siga"
674917,6419125,"võru maakond","2004","siga"
684725,6446396,"põlva maakond","2004","mesilane"
615158,6445285,"viljandi maakond","2004","veis"
678422,6427151,"põlva maakond","2004","munakana;veis"
663363,6437309,"põlva maakond","2004","kits;lammas;munakana;vutt"
680067,6390284,"võru maakond","2004","hobune"
633630,6412729,"valga maakond","2004","hani;munakana;part;veis"
640338,6409943,"valga maakond","2004","veis"
