"lon","lat","nädalapäev","sündmus","koht","kahjusumma"
542500,6588000,"Laupäev","vandalism","avalik_koht,parkla","0-499"
546000,6589000,"Laupäev","vandalism","avalik_koht,trepikoda_koridor,tanav_valjak,oueala_lahtine_hoov","0-499"
593000,6604000,"Neljapäev","vandalism","avalik_koht","500-4999"
547000,6589000,"Esmaspäev","vandalism","avalik_koht","0-499"
552000,6593000,"Pühapäev","vandalism","avalik_koht","0-499"
411000,6458500,"Laupäev","vandalism,avaliku_korra_rikkumine","trepikoda_koridor","0-499"
547000,6589000,"Reede","vandalism","avalik_koht","0-499"
537000,6586000,"Kolmapäev","vandalism","avalik_koht","0-499"
545000,6584000,"Kolmapäev","vandalism","avalik_koht","0-499"
539500,6590000,"Esmaspäev","vandalism","avalik_koht,ehitus","5000-49999"
543000,6588500,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","0-499"
543000,6589500,"Pühapäev","vandalism","avalik_koht,parkla","0-499"
539500,6590000,"Laupäev","vandalism","avalik_koht,kiosk,tanav_valjak","0-499"
541000,6590500,"Laupäev","muu,vandalism","avalik_koht,veekogu,oueala_lahtine_hoov","500-4999"
544000,6587500,"Laupäev","vandalism","avalik_koht,ehitus","0-499"
542500,6589000,"Teisipäev","vandalism","avalik_koht,tanav_valjak","0-499"
542500,6589000,"Laupäev","vandalism","avalik_koht,tanav_valjak","500-4999"
549500,6590500,"Neljapäev","vandalism","avalik_koht,tanav_valjak","0-499"
542500,6588500,"Neljapäev","vandalism","avalik_koht,kaubamaja","0-499"
542500,6589500,"Neljapäev","vandalism","avalik_koht,oueala_lahtine_hoov","0-499"
548000,6590000,"Neljapäev","vandalism","avalik_koht,tanav_valjak","5000-49999"
550000,6590500,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","500-4999"
539000,6590000,"Kolmapäev","narkojuhtum,vandalism","avalik_koht,tanav_valjak","0-499"
592500,6468500,"Kolmapäev","vandalism","avalik_koht","0-499"
541500,6589000,"Pühapäev","vandalism,vargus","avalik_koht,kiosk","500-4999"
633000,6581000,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
545000,6585000,"Neljapäev","vandalism","avalik_koht,park","0-499"
541000,6587500,"Esmaspäev","vandalism","avalik_koht,kauplus","0-499"
539000,6566000,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","5000-49999"
542000,6587000,"Reede","vandalism","avalik_koht,parkla,tanav_valjak","0-499"
411000,6457500,"Teisipäev","vandalism","avalik_koht","0-499"
614500,6503000,"Laupäev","vandalism","avalik_koht,muu koht","5000-49999"
557000,6594000,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","0-499"
542000,6587500,"Kolmapäev","vandalism","avalik_koht,kauplus","0-499"
540000,6588500,"Teisipäev","vandalism","avalik_koht,tanav_valjak","0-499"
591000,6451000,"Esmaspäev","vandalism","avalik_koht,bussipeatus","0-499"
574000,6582000,"Laupäev","vandalism","avalik_koht,park","0-499"
539500,6589500,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
540000,6586500,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","0-499"
543000,6589000,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","0-499"
546000,6586000,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","0-499"
661000,6473500,"Pühapäev","vandalism","avalik_koht","0-499"
539500,6590500,"Pühapäev","vandalism","avalik_koht,tanav_valjak","5000-49999"
660500,6473500,"Pühapäev","vandalism","avalik_koht","0-499"
542500,6588500,"Pühapäev","narkojuhtum,vandalism","avalik_koht,bussijaam_bussiterminaal","0-499"
660500,6473500,"Pühapäev","vandalism","avalik_koht","0-499"
543000,6588500,"Reede","vandalism","avalik_koht,uhissoiduk","500-4999"
540000,6590500,"Neljapäev","vandalism","avalik_koht,oueala_lahtine_hoov","0-499"
547000,6589500,"Neljapäev","vandalism","avalik_koht,tanav_valjak","0-499"
539000,6590500,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","0-499"
540000,6590500,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","0-499"
631000,6525000,"Laupäev","vandalism","avalik_koht","500-4999"
734000,6593000,"Laupäev","vandalism,avaliku_korra_rikkumine","muu koht","0-499"
542500,6589000,"Reede","vandalism","avalik_koht,hotell_motell","500-4999"
541500,6587000,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
544500,6588000,"Reede","vandalism","avalik_koht,uhissoiduk","0-499"
541500,6586500,"Teisipäev","vandalism","avalik_koht,kauplus","0-499"
546500,6591500,"Pühapäev","vandalism","avalik_koht,kauplus","0-499"
541500,6586000,"Laupäev","avaliku_korra_rikkumine,vandalism","trepikoda_koridor","0-499"
503000,6539000,"Laupäev","vandalism","avalik_koht","0-499"
547000,6588500,"Reede","vandalism","avalik_koht,oueala_lahtine_hoov","0-499"
542000,6590000,"Kolmapäev","vandalism","avalik_koht,ehitus","0-499"
694000,6582500,"Laupäev","avaliku_korra_rikkumine,vandalism","kauplus","0-499"
546500,6588500,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
546500,6589000,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
537000,6586500,"Reede","vandalism","avalik_koht,oueala_lahtine_hoov","500-4999"
550000,6589500,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","0-499"
540000,6589000,"Pühapäev","vandalism","avalik_koht,parkla,oueala_lahtine_hoov","0-499"
542500,6588000,"Neljapäev","vandalism","avalik_koht,tanav_valjak","0-499"
544500,6588500,"Teisipäev","vandalism","avalik_koht","0-499"
589000,6499000,"Kolmapäev","vandalism","avalik_koht,muu koht","0-499"
545000,6587000,"Kolmapäev","vandalism","avalik_koht,kauplus","0-499"
545000,6587000,"Kolmapäev","vandalism","avalik_koht,kauplus","0-499"
548500,6589500,"Kolmapäev","pisivargus,vandalism","avalik_koht,kauplus","0-499"
544500,6587500,"Esmaspäev","vandalism","avalik_koht,kauplus","500-4999"
540000,6588000,"Neljapäev","vandalism","avalik_koht,raviasutus","0-499"
539000,6591000,"Pühapäev","vandalism","avalik_koht","0-499"
594000,6471000,"Pühapäev","vandalism","avalik_koht,bussipeatus","500-4999"
548500,6590500,"Laupäev","vandalism","avalik_koht,tanav_valjak","0-499"
549000,6589500,"Teisipäev","avaliku_korra_rikkumine,vandalism","avalik_koht,trepikoda_koridor","500-4999"
539000,6590000,"Teisipäev","vandalism","avalik_koht,oueala_lahtine_hoov","0-499"
579000,6443500,"Teisipäev","vandalism","avalik_koht,muu koht,muu ruum","0-499"
537000,6586000,"Esmaspäev","vandalism","avalik_koht","0-499"
549500,6590500,"Laupäev","vandalism","avalik_koht,tanav_valjak","0-499"
473000,6533500,"Laupäev","avaliku_korra_rikkumine,vandalism","kauplus","0-499"
659000,6474500,"Laupäev","vandalism","avalik_koht","0-499"
542500,6588500,"Kolmapäev","vandalism","avalik_koht,bussipeatus,tanav_valjak","0-499"
539500,6589500,"Teisipäev","vandalism","avalik_koht,parkla","0-499"
628000,6540000,"Reede","vandalism","avalik_koht","0-499"
515000,6584000,"Neljapäev","vandalism","avalik_koht","500-4999"
541500,6589000,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","0-499"
540000,6588500,"Kolmapäev","vandalism","avalik_koht,kiosk","0-499"
541000,6590000,"Esmaspäev","vandalism,vargus","avalik_koht,parkla","0-499"
544500,6587500,"Laupäev","vandalism","avalik_koht,kauplus","0-499"
541000,6588500,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","0-499"
540500,6588500,"Kolmapäev","vandalism","avalik_koht","0-499"
648000,6562000,"Pühapäev","vandalism","avalik_koht,konnitee_teepeenar","500-4999"
542500,6587500,"Laupäev","narkojuhtum,vandalism","avalik_koht,tanav_valjak","0-499"
523500,6573500,"Laupäev","vandalism","avalik_koht,oueala_lahtine_hoov","0-499"
547000,6592500,"Reede","vandalism","avalik_koht","0-499"
545000,6588000,"Kolmapäev","muu,vandalism","avalik_koht,tanav_valjak","0-499"
543000,6588500,"Teisipäev","vandalism","avalik_koht,uhissoiduk","0-499"
542500,6589500,"Teisipäev","vandalism","avalik_koht,tanav_valjak","500-4999"
542500,6589500,"Teisipäev","vandalism","avalik_koht,tanav_valjak","500-4999"
593500,6470000,"Pühapäev","vandalism","avalik_koht","0-499"
558000,6594000,"Laupäev","vandalism","avalik_koht","0-499"
540000,6588500,"Laupäev","vandalism","avalik_koht,tanav_valjak","0-499"
542000,6587000,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
542500,6588500,"Neljapäev","vandalism","avalik_koht,kaubamaja","0-499"
543500,6589000,"Neljapäev","vandalism","avalik_koht,hotell_motell","0-499"
661000,6478000,"Neljapäev","vandalism","avalik_koht","0-499"
544000,6589000,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","0-499"
538000,6582000,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","0-499"
557000,6594000,"Kolmapäev","vandalism","avalik_koht","0-499"
634000,6580500,"Kolmapäev","vandalism","avalik_koht","0-499"
593500,6471000,"Pühapäev","vandalism","avalik_koht,muu koht","0-499"
548500,6590000,"Laupäev","vandalism","avalik_koht,tanav_valjak","500-4999"
542000,6586500,"Laupäev","vandalism","avalik_koht,uhissoiduk","0-499"
546500,6589000,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
538000,6591000,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
550000,6591000,"Reede","vandalism","avalik_koht","0-499"
542000,6586000,"Neljapäev","vandalism","avalik_koht,uhissoiduk","0-499"
557000,6593000,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","0-499"
623500,6404500,"Kolmapäev","vandalism","avalik_koht,parkla","0-499"
542000,6588500,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","0-499"
544500,6588000,"Esmaspäev","vandalism","avalik_koht,muu koht","0-499"
659000,6474000,"Pühapäev","vandalism","avalik_koht,tanav_valjak","500-4999"
614500,6502000,"Laupäev","vandalism","avalik_koht","0-499"
541500,6586000,"Kolmapäev","vandalism","avalik_koht,uhissoiduk","0-499"
549500,6589500,"Teisipäev","vandalism","avalik_koht,kauplus,tankla","0-499"
548000,6590000,"Teisipäev","vandalism","avalik_koht,tanav_valjak","500-4999"
590000,6500000,"Teisipäev","vandalism","avalik_koht,muu koht","0-499"
547000,6589000,"Teisipäev","vandalism","avalik_koht,kauplus","0-499"
542000,6587000,"Teisipäev","vandalism","avalik_koht,oueala_lahtine_hoov","0-499"
540500,6583500,"Esmaspäev","vandalism","avalik_koht,uhissoiduk","0-499"
543000,6589000,"Pühapäev","vandalism","avalik_koht,uhissoiduk","0-499"
542000,6587000,"Laupäev","vandalism","avalik_koht,tanav_valjak","0-499"
539000,6589500,"Laupäev","vandalism","avalik_koht,tanav_valjak","0-499"
658500,6473500,"Laupäev","muu,vandalism","avalik_koht","0-499"
634000,6580500,"Laupäev","vandalism","avalik_koht,park","0-499"
550500,6589500,"Reede","vandalism","avalik_koht,kiosk","0-499"
549500,6590000,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
550500,6589500,"Kolmapäev","vandalism","avalik_koht","0-499"
542500,6588500,"Kolmapäev","muu,vandalism","avalik_koht,kaubamaja","0-499"
539500,6590500,"Kolmapäev","vandalism","avalik_koht,uhissoiduk","0-499"
539500,6590500,"Kolmapäev","vandalism","avalik_koht,uhissoiduk","0-499"
548000,6589500,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","0-499"
541000,6588500,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","0-499"
539500,6590500,"Pühapäev","vandalism","avalik_koht,tanav_valjak","0-499"
