"make","model","price.usd","year","condition","mileage.km","fuel","volume.l","color","transmission","drive"
"volkswagen","golf",1100,1992,"with mileage",93000,"petrol",1.4,"silver","mechanics","front-wheel drive"
"opel","rekord",700,1985,"with mileage",1600,"petrol",2,"gray","mechanics","rear drive"
"opel","astra",2800,2002,"with mileage",219000,"diesel",1.7,"silver","mechanics","front-wheel drive"
"lada-vaz","vesta",12500,2019,"with mileage",27000,"petrol",1.6,"black","mechanics","front-wheel drive"
"lada-vaz","2121-niva",2500,1979,"with mileage",5000,"petrol",1.6,"blue","mechanics","all-wheel drive"
"bmw","5-seriya",18500,2009,"with mileage",250000,"petrol",3,"black","auto","rear drive"
"bmw","7-seriya",5000,1995,"with mileage",440000,"petrol",5.4,"black","auto","rear drive"
"kia","rio",7400,2014,"with mileage",115000,"petrol",1.4,"other","mechanics",""
"mercedes-benz","e-klass",7999,2008,"with mileage",153000,"diesel",2.2,"black","auto","rear drive"
"kia","rio",7500,2012,"with mileage",159000,"petrol",1.4,"gray","auto","front-wheel drive"
"renault","espace",3500,2003,"for parts",300000,"diesel",2.2,"silver","auto","front-wheel drive"
"renault","19",550,1992,"with mileage",320632,"diesel",1.9,"green","mechanics","front-wheel drive"
"fiat","tipo",500,1991,"with mileage",130000,"diesel",1.9,"gray","mechanics","front-wheel drive"
"volkswagen","sharan",6700,2002,"with mileage",376000,"diesel",1.9,"silver","mechanics","front-wheel drive"
"lada-vaz","largus",8319,2016,"with mileage",109182,"petrol",1.6,"brown","mechanics","front-wheel drive"
"renault","scenic",3800,2001,"with mileage",320000,"petrol",1.6,"white","mechanics","front-wheel drive"
"renault","grand-espace",4300,2001,"with mileage",345000,"diesel",2.2,"blue","mechanics","front-wheel drive"
"lexus","rx",17700,2009,"with mileage",110000,"petrol",3.5,"blue","auto","part-time four-wheel drive"
"mercedes-benz","e-klass",4300,1998,"with mileage",380000,"diesel",2.2,"silver","mechanics","rear drive"
"mazda","626",1500,1999,"with mileage",416000,"petrol",2,"green","mechanics","front-wheel drive"
"jaguar","xf",15900,2011,"with mileage",133814,"petrol",2.967,"white","auto","rear drive"
"skoda","fabia",9900,2015,"with mileage",90000,"diesel",1.4,"silver","mechanics","front-wheel drive"
"gaz","3110",700,1999,"with mileage",78000,"petrol",2.3,"green","mechanics","rear drive"
"chevrolet","tahoe",17826,2008,"with mileage",158500,"petrol",5.296,"black","auto","part-time four-wheel drive"
"renault","laguna",1790,1999,"with mileage",232000,"petrol",1.6,"green","mechanics","front-wheel drive"
"peugeot","206",2390,2000,"with mileage",290000,"petrol",1.4,"silver","mechanics","front-wheel drive"
"renault","logan",2400,2010,"with mileage",500000,"diesel",1.5,"blue","mechanics","front-wheel drive"
"mercedes-benz","c-klass",6499,2004,"with mileage",268000,"petrol",1.8,"black","auto","rear drive"
"ford","escort",1650,1996,"with mileage",10000,"petrol",1.6,"black","mechanics","front-wheel drive"
"bmw","3-seriya",1600,1992,"with mileage",425000,"petrol",1.8,"black","mechanics","rear drive"
